Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
ALPINE,A110,2017 - ,1.8 L 252,215/40 R 18,089Y,245/40 R 18,097Y
ALPINE,A110,2017 - ,1.8 L 252,205/40 R 18,086Y,235/40 R 18,095Y
ALPINE,A110,2017 - ,1.8 L 252,205/45 R 17,088Y,235/45 R 17,097Y
CATERHAM,165,2013 - 2021,"0,6 L 80",155/65 R 14,075T,155/65 R 14,075T
BYD,Seal,2022 - ,Electric 313,235/45 R 19,095Y,235/45 R 19,095Y
GUMPERT,Apollo S,2006 - 2013,4.2 V8 750,265/35 R 19,098ZR(Y),345/30 R 20,106ZR(Y)
LANCIA,Thema AWD,2011 - 2014,3.0 V6 286,235/55 R 19,101H,235/55 R 19,101H
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 154,215/55 R 18,095H,215/55 R 18,095H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,215/65 R 16,098H,215/65 R 16,098H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,225/60 R 17,099H,225/60 R 17,099H
SSANGYONG,Korando,2006 - 2019,2.2 D 178,225/55 R 18,098H,225/55 R 18,098H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,215/75 R 16,103H,215/75 R 16,103H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 150,235/55 R 19,101V,235/55 R 19,101V
MORGAN,Aero 8,2008 - 2018,4.8 V8 367,225/40 R 18,092ZR(Y),245/40 R 18,093ZR(Y)
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 149,215/55 R 18,095H,215/55 R 18,095H
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/55 R 19,101V,235/55 R 19,101V
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 SD4 190,235/60 R 18,103V,235/60 R 18,103V
SSANGYONG,Korando,1988 - 1996,2.2 D 68,215/75 R 15,100S,215/75 R 15,100S
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 114,215/55 R 18,095H,215/55 R 18,095H
ALPINE,A110 S,2017 - ,1.8 L 292,215/40 R 18,089Y,245/40 R 18,097Y
CATERHAM,620R,2013 - ,2.0 L 310,185/55 R 13,083V,215/55 R 13,088V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,215/75 R 16,103H,215/75 R 16,103H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 160,235/55 R 19,101V,235/55 R 19,101V
BYD,Atto 3 ,2022 - ,Electric 204,215/60 R 17,096H,215/60 R 17,096H
BYD,Atto 3 ,2022 - ,Electric 204,235/50 R 18,101V,235/50 R 18,101V
BYD,Atto 3 ,2022 - ,Electric 204,215/55 R 18,095V,215/55 R 18,095V
ALPINE,A110 S,2022 - ,1.8 L 300,215/40 R 18,089Y,245/40 R 18,097Y
ALPINE,A110 S,2022 - ,1.8 L 300,205/40 R 18,086Y,235/40 R 18,095Y
BYD,Song Plus DM-i,2022 - ,1.5L Hybrid 499,235/50 R 19,099V,235/50 R 19,099V
CATERHAM,620S,2013 - ,2.0 L 310,195/50 R 15,082W,195/50 R 15,082W
GUMPERT,Apollo,2006 - 2013,4.2 V8 700,255/35 R 19,096ZR(Y),345/35 R 19,110ZR(Y)
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,195/55 R 15,084V,195/55 R 15,084V
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,205/50 R 15,000ZR,205/50 R 15,000ZR
LANCIA,Delta I 4X4,1979 - 1993,2.0 Turbo,115/70 R 16,092M,115/70 R 16,092M
DR AUTOMOBILES,DR 5.0,2022 - ,1.5 L 116,215/55 R 18,095H,215/55 R 18,095H
MORGAN,Plus 6,2019 - ,3.0 L 340,225/40 R 18,092Y,245/40 R 18,097Y
MORGAN,Plus 6,2019 - ,3.0 L 340,245/35 R 19,093Y,255/35 R 19,096Y
MORGAN,Plus 6,2019 - ,3.0 L 340,225/35 R 19,088Y,235/35 R 19,096Y
CATERHAM,S7 Competition,1996 - ,2.0 L 150,205/55 R 16,000ZR,225/50 R 16,000ZR
DR AUTOMOBILES,DR 6.0,2022 - ,1.5 L 149,225/55 R 19,099H,225/55 R 19,099H
LAMBORGHINI,Diablo,1990 - 2004,6.0 V12 550,235/35 R 18,000ZR,335/30 R 18,000ZR
DR AUTOMOBILES,DR 6.0,2022 - ,1.5 L 154,225/55 R 19,099H,225/55 R 19,099H
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/55 R 19,100V,235/55 R 19,100V
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,2.0 Si 241,235/60 R 18,103V,235/60 R 18,103V
SSANGYONG,Korando,1997 - 2010,2.3 TD 79,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.3 TD 79,255/70 R 15,108H,255/70 R 15,108H
LAMBORGHINI,Diablo,1990 - 2004,5.7 V12 530,245/40 R 17,000ZR,335/35 R 17,000ZR
SSANGYONG,Korando,1997 - 2010,2.9 TD 98,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.9 TD 98,255/70 R 15,108H,255/70 R 15,108H
DAEWOO,Nubira,1997 - 2008,2.0 L 133,195/55 R 15,085V,195/55 R 15,085V
DAEWOO,Nubira,1997 - 2008,2.0 L 133,185/65 R 14,086H,185/65 R 14,086H
SSANGYONG,Korando,1997 - 2010,3.2 L 209,255/70 R 15,108H,255/70 R 15,108H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,205/60 R 15,091V,205/60 R 15,091V
MORGAN,Plus 4,2011 - 2020,2.0 L 154,205/65 R 15,091H,205/65 R 15,091H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,195/60 R 15,088H,195/60 R 15,088H
MORGAN,Plus 4,2011 - 2020,2.0 L 154,255/55 R 16,103V,255/55 R 16,103V
DAEWOO,Nubira,1997 - 2008,1.6 L 106,195/55 R 15,085V,195/55 R 15,085V
DAEWOO,Nubira,1997 - 2008,1.6 L 106,185/65 R 14,086H,185/65 R 14,086H
SSANGYONG,Korando,1997 - 2010,2.3 L 140,235/75 R 15,105T,235/75 R 15,105T
MORGAN,Plus 4,2011 - 2020,2.0 L 145,205/60 R 15,091V,205/60 R 15,091V
MORGAN,Plus 4,2011 - 2020,2.0 L 145,195/60 R 15,088H,195/60 R 15,088H
LAMBORGHINI,Huracan Evo,2014 - 2019,5.2 V10 640,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
CATERHAM,485 CSR,2013 - ,2.0 L 240,195/45 R 15,078W,245/40 R 15,088W
CATERHAM,485 CSR,2013 - ,2.0 L 240,195/45 R 15,078V,195/45 R 15,078V
SSANGYONG,Korando,1997 - 2010,3.2 L 212,255/70 R 15,108H,255/70 R 15,108H
BYD,Han EV,2022 - ,Electric 487,245/45 R 19,102W,245/45 R 19,102W
LANCIA,Delta I HF Integrale,1979 - 1993,2.0 L 185,195/55 R 15,084V,195/55 R 15,084V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/65 R 17,104V,235/65 R 17,104V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/55 R 19,100V,235/55 R 19,100V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/65 R 17,108V,235/65 R 17,108V
LAND ROVER,Freelander II,2006 - 2015,3.2 L 233,235/60 R 18,107V,235/60 R 18,107V
SSANGYONG,Korando,1997 - 2010,2.0 L 128,255/70 R 15,108H,255/70 R 15,108H
SSANGYONG,Korando,1997 - 2010,2.0 L 128,235/75 R 15,105T,235/75 R 15,105T
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,235/65 R 17,108V,235/65 R 17,108V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,235/60 R 18,107V,235/60 R 18,107V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,215/75 R 16,103H,215/75 R 16,103H
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,235/55 R 19,100V,235/55 R 19,100V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Freelander II,2006 - 2015,2.2 TD4 152,235/65 R 17,104V,235/65 R 17,104V
SSANGYONG,Korando,1997 - 2010,2.9 TD 120,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.9 TD 120,255/70 R 15,108H,255/70 R 15,108H
CATERHAM,485 S3,2014 - ,2.0 L 240,185/55 R 13,083V,205/55 R 13,085V
CATERHAM,485 S3,2014 - ,2.0 L 240,195/45 R 15,078V,195/45 R 15,078V
CATERHAM,485 S3,2014 - ,2.0 L 240,175/55 R 13,075V,175/55 R 13,075V
SSANGYONG,Korando,1997 - 2010,2.3 L 143,235/75 R 15,105T,235/75 R 15,105T
SSANGYONG,Korando,1997 - 2010,2.3 L 143,235/75 R 15,108H,235/75 R 15,108H
LANCIA,Lybra,1999 - 2006,1.9 JTD 105,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 105,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 105,195/65 R 15,091H,195/65 R 15,091H
MORGAN,Plus 4,2022 - ,2.0 L 258,205/60 R 15,091V,205/60 R 15,091V
MORGAN,Plus 4,2022 - ,2.0 L 258,205/55 R 16,091V,205/55 R 16,091V
LAMBORGHINI,Huracan Evo,2019 - ,5.2 V10 640,245/35 R 19,093ZR(Y),305/30 R 20,103ZR(Y)
LAMBORGHINI,Huracan Evo,2019 - ,5.2 V10 640,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
LANCIA,Lybra,1999 - 2006,1.6 L 103,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,1.6 L 103,195/65 R 15,091H,195/65 R 15,091H
LANCIA,Lybra,1999 - 2006,1.6 L 103,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 110,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 110,195/65 R 15,091H,195/65 R 15,091H
LANCIA,Lybra,1999 - 2006,1.9 JTD 110,205/60 R 15,091V,205/60 R 15,091V
MORGAN,3 Wheeler,2011 - 2021,2.0 L 82,175/65 R 15,084T,175/65 R 15,084T
LAMBORGHINI,Huracan Spyder LP580-2,2014 - ,5.2 V10 580,245/35 R 19,093ZR(Y),305/35 R 19,102ZR(Y)
LAMBORGHINI,Huracan Spyder LP580-2,2014 - ,5.2 V10 580,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
LANCIA,Lybra,1999 - 2006,2.4 JTD 140,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 140,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 140,195/65 R 15,091V,195/65 R 15,091V
DAEWOO,Nubira station wagon,1997 - 2008,2.0 L 133,185/65 R 14,086H,185/65 R 14,086H
DAEWOO,Nubira station wagon,1997 - 2008,2.0 L 133,195/55 R 15,085V,195/55 R 15,085V
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,275/50 R 21,113V,275/50 R 21,113V
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,275/50 R 21,113Y,275/50 R 21,113Y
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover Sport III HSE P530,2022 - ,4.4 L V8 530,285/45 R 22,114V,285/45 R 22,114V
DR AUTOMOBILES,DR F35,2020 - ,1.5 L 154,225/55 R 19,099H,225/55 R 19,099H
CATERHAM,420,2015 - ,2.0 L 210,195/45 R 15,078V,195/45 R 15,078V
CATERHAM,420,2015 - ,2.0 L 210,175/55 R 13,075V,175/55 R 13,075V
DAEWOO,Nubira station wagon,1997 - 2008,1.6 L 106,185/65 R 14,086H,185/65 R 14,086H
DAEWOO,Nubira station wagon,1997 - 2008,1.6 L 106,195/55 R 15,085V,195/55 R 15,085V
DR AUTOMOBILES,DR F35,2020 - ,1.5 L 149,225/55 R 19,099H,225/55 R 19,099H
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,285/45 R 22,114V,285/45 R 22,114V
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,275/50 R 21,113V,275/50 R 21,113V
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover V HSE P530,2022 - ,4.4 L V8 530,275/50 R 21,113Y,275/50 R 21,113Y
SSANGYONG,Korando,2010 - 2016,2.0 D 150,225/60 R 17,099H,225/60 R 17,099H
SSANGYONG,Korando,2010 - 2016,2.0 D 150,215/65 R 16,098H,215/65 R 16,098H
SSANGYONG,Korando,2010 - 2016,2.0 D 150,225/55 R 18,098H,225/55 R 18,098H
MORGAN,Aeromax,2008 - 2009,4.8 V8 367,225/35 R 19,088ZR(Y),245/35 R 19,089ZR(Y)
LAMBORGHINI,Huracan Performante Spyder LP640-4,2014 - ,5.2 V10 640,245/30 R 20,090ZR(Y),305/30 R 20,103ZR(Y)
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,285/45 R 22,114V,285/45 R 22,114V
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,275/50 R 21,113Y,275/50 R 21,113Y
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover Sport III HSE P440e,2022 - ,3.0 L MHEV 440,275/50 R 21,113V,275/50 R 21,113V
DR AUTOMOBILES,DR 4.0,2021 - ,1.5 L 116,215/55 R 18,095H,215/55 R 18,095H
CATERHAM,175 CSR,2006 - ,2.0 L 175,195/45 R 15,078W,245/40 R 15,088W
CATERHAM,175 CSR,2006 - ,2.0 L 175,195/45 R 15,078V,195/45 R 15,078V
DAEWOO,Kalos,2003 - 2005,1.4 L 94,185/60 R 14,082H,185/60 R 14,082H
DAEWOO,Kalos,2003 - 2005,1.4 L 94,185/55 R 15,082V,185/55 R 15,082V
DAEWOO,Kalos,2003 - 2005,1.4 L 94,175/70 R 13,082T,175/70 R 13,082T
DAEWOO,Kalos,2003 - 2005,1.4 L 94,155/80 R 13,079T,155/80 R 13,079T
DR AUTOMOBILES,DR 4.0,2021 - ,1.5 L 114,215/55 R 18,095H,215/55 R 18,095H
MORGAN,Roadster,1993 - 2019,1.6 L 112,165/80 R 15,087T,165/80 R 15,087T
MORGAN,Roadster,1993 - 2019,1.6 L 112,195/60 R 15,088H,195/60 R 15,088H
DAEWOO,Kalos,2003 - 2005,1.2 L 72,185/60 R 14,082H,185/60 R 14,082H
DAEWOO,Kalos,2003 - 2005,1.2 L 72,185/55 R 15,082V,185/55 R 15,082V
DAEWOO,Kalos,2003 - 2005,1.2 L 72,175/70 R 13,082T,175/70 R 13,082T
DAEWOO,Kalos,2003 - 2005,1.2 L 72,155/80 R 13,079T,155/80 R 13,079T
LAMBORGHINI,Urus Performante,2022 - ,4.0 V8 666,285/40 R 22,110ZR(Y),325/35 R 22,114ZR(Y)
LAMBORGHINI,Urus Performante,2022 - ,4.0 V8 666,285/45 R 21,113Y,315/40 R 21,115Y
LAMBORGHINI,Urus Performante,2022 - ,4.0 V8 666,285/35 R 23,107ZR(Y),325/30 R 23,109ZR(Y)
SSANGYONG,Korando,2010 - 2019,2.0 L 150,225/60 R 17,099H,225/60 R 17,099H
SSANGYONG,Korando,2010 - 2019,2.0 L 150,215/65 R 16,098H,215/65 R 16,098H
SSANGYONG,Korando,2010 - 2019,2.0 L 150,225/55 R 18,098H,225/55 R 18,098H
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,285/45 R 22,114V,285/45 R 22,114V
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,275/50 R 21,113V,275/50 R 21,113V
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover V HSE D350,2022 - ,3.0 L MHEV 350,275/50 R 21,113Y,275/50 R 21,113Y
SSANGYONG,Korando,2010 - 2019,2.0 D 175,215/65 R 16,098H,215/65 R 16,098H
SSANGYONG,Korando,2010 - 2019,2.0 D 175,225/55 R 18,098H,225/55 R 18,098H
SSANGYONG,Korando,2010 - 2019,2.0 D 175,225/60 R 17,099H,225/60 R 17,099H
LANCIA,Lybra,1999 - 2006,1.8 L 130,195/65 R 15,091V,195/65 R 15,091V
LANCIA,Lybra,1999 - 2006,1.8 L 130,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,1.8 L 130,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 134,195/65 R 15,091V,195/65 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 134,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 134,205/55 R 16,091V,205/55 R 16,091V
AIXAM,500,1997 - 2002,0.5 D 13,145/60 R 13,065T,145/60 R 13,065T
LAND ROVER,Land 110,1983 - 1990,2.5 D,7.5 R 16,112L,7.5 R 16,112L
MCLAREN,720S Spider,2017 - ,4.0 V8 Bi-Turbo 720,245/35 R 19,093ZR(Y),305/30 R 20,103ZR(Y)
MORGAN,Roadster,2011 - 2019,3.7 V6 286,205/60 R 15,091V,205/60 R 15,091V
LAND ROVER,Land 110,1983 - 1990,3.5 V8,7.5 R 16,112L,7.5 R 16,112L
MCLAREN,650S Spider,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,091ZR(Y),305/30 R 20,099ZR(Y)
MCLAREN,650S Spider,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,087V,295/30 R 20,101W
LANCIA,Lybra,1999 - 2006,2.4 JTD 150,195/65 R 15,091V,195/65 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 150,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,2.4 JTD 150,205/55 R 16,091V,205/55 R 16,091V
SSANGYONG,Actyon Sports,2012 - 2018,2.2 e-XDI 178,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Actyon Sports,2012 - 2018,2.2 e-XDI 178,255/60 R 18,108H,255/60 R 18,108H
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.2 eD4 150,235/55 R 19,105V,235/55 R 19,105V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.2 eD4 150,245/45 R 20,099V,245/45 R 20,099V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.2 eD4 150,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.2 eD4 150,225/65 R 17,106V,225/65 R 17,106V
SSANGYONG,Actyon Sports,2012 - 2018,2.3 L 150,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Actyon Sports,2012 - 2018,2.3 L 150,255/60 R 18,108H,255/60 R 18,108H
DAEWOO,Rezzo,2000 - 2009,2.0 L 121,195/60 R 15,088H,195/60 R 15,088H
DAEWOO,Rezzo,2000 - 2009,1.6 L 105,195/60 R 15,088H,195/60 R 15,088H
SSANGYONG,Actyon Sports,2012 - 2018,2.0 XDI 155,225/75 R 16,104H,225/75 R 16,104H
SSANGYONG,Actyon Sports,2012 - 2018,2.0 XDI 155,255/60 R 18,108H,255/60 R 18,108H
MCLAREN,650S Can-Am,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,087V,295/30 R 20,101W
MCLAREN,650S Can-Am,2014 - 2017,3.8 V8 Bi-Turbo 650,235/35 R 19,091ZR(Y),305/30 R 20,099ZR(Y)
CATERHAM,160,2013 - 2021,"0,6 L 80",155/65 R 14,075T,155/65 R 14,075T
DAEWOO,Rezzo,2000 - 2009,1.8 L 90,195/60 R 15,088H,195/60 R 15,088H
LANCIA,Lybra,1999 - 2006,2.0 L 150,195/65 R 15,091V,195/65 R 15,091V
LANCIA,Lybra,1999 - 2006,2.0 L 150,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,2.0 L 150,205/60 R 15,091V,205/60 R 15,091V
CUPRA,Ateca,2016 - ,2.0 TSI 300 ,245/40 R 19,094W,245/40 R 19,094W
CUPRA,Ateca,2016 - ,2.0 TSI 300 ,225/45 R 19,092W,225/45 R 19,092W
CUPRA,Ateca,2016 - ,2.0 TSI 300 ,225/50 R 18,095W,225/50 R 18,095W
CUPRA,Ateca,2016 - ,2.0 TSI 300 ,245/35 R 20,095Y,245/35 R 20,095Y
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.0 TD4 150,235/55 R 19,105V,235/55 R 19,105V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.0 TD4 150,245/45 R 20,103V,245/45 R 20,103V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.0 TD4 150,235/60 R 18,103V,235/60 R 18,103V
LAND ROVER,Range Rover Evoque (4X2),2011 - 2018,2.0 TD4 150,225/65 R 17,106V,225/65 R 17,106V
AIXAM,400,1997 - 2002,0.4 D 5,145/60 R 13,065T,145/60 R 13,065T
DAEWOO,Espero,1991 - 1999,1.8 L 90,185/65 R 14,086H,185/65 R 14,086H
CUPRA,Leon IV ST,2021 - ,1.4 e-Hybrid 245,235/35 R 19,091Y,235/35 R 19,091Y
CUPRA,Leon IV ST,2021 - ,1.4 e-Hybrid 245,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV ST,2021 - ,1.4 e-Hybrid 245,225/35 R 19,088V,225/35 R 19,088V
DAEWOO,Espero,1991 - 1999,2.0 L 105,185/65 R 14,086H,185/65 R 14,086H
AIXAM,Roadline GT,2009 - 2010,0.5 L 20,155/65 R 14,075T,155/65 R 14,075T
AIXAM,Roadline GT,2009 - 2010,0.5 L 20,145/70 R 13,071T,145/70 R 13,071T
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,255/60 R 20,113Y,255/60 R 20,113Y
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,275/55 R 20,117W,275/55 R 20,117W
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,255/60 R 20,113V,255/60 R 20,113V
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,285/45 R 22,114Y,285/45 R 22,114Y
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,285/45 R 22,114V,285/45 R 22,114V
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,275/50 R 21,113V,275/50 R 21,113V
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,275/55 R 20,117V,275/55 R 20,117V
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,285/40 R 23,111Y,285/40 R 23,111Y
LAND ROVER,Range Rover V HSE D250,2022 - ,3.0 L MHEV ,275/50 R 21,113Y,275/50 R 21,113Y
LAMBORGHINI,LP 570-4 Superleggera,2010 - 2014,5.2 V10 570,235/35 R 19,091ZR(Y),295/30 R 19,100ZR(Y)
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 310,235/35 R 19,091Y,235/35 R 19,091Y
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 310,225/40 R 18,092V,225/40 R 18,092V
CUPRA,Leon IV ST,2021 - ,2.0 TFSI 310,225/35 R 19,088V,225/35 R 19,088V
LANCIA,Lybra,1999 - 2006,1.9 JTD 115,205/60 R 15,091V,205/60 R 15,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 115,205/55 R 16,091V,205/55 R 16,091V
LANCIA,Lybra,1999 - 2006,1.9 JTD 115,195/65 R 15,091H,195/65 R 15,091H
MCLAREN,540C Coupé,2015 - 2021,3.8 V8 Bi-Turbo 540,225/35 R 19,088ZR(Y),285/35 R 20,104ZR(Y)
SSANGYONG,Korando 2WD,2019 - ,1.6 D 136,235/55 R 18,100H,235/55 R 18,100H
SSANGYONG,Korando 2WD,2019 - ,1.6 D 136,225/60 R 17,099H,225/60 R 17,099H
LANCIA,Zeta,1995 - 2002,2.1 TD 109,205/65 R 15,094H,205/65 R 15,094H
