Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
LADA,Natacha,1995 - 1996,1.5,165/70 R 13,079T,165/70 R 13,079T
MASERATI,Levante,2016 - ,3.0L V6 350,255/60 R 18,108W,255/60 R 18,108W
MASERATI,Levante,2016 - ,3.0L V6 350,265/50 R 19,110W,295/45 R 19,113W
MASERATI,Levante,2016 - ,3.0L V6 350,265/50 R 19,110W,265/50 R 19,110W
MASERATI,Levante,2016 - ,3.0L V6 350,265/45 R 20,108W,265/45 R 20,108W
MASERATI,Levante,2016 - ,3.0L V6 350,265/50 R 19,110Y,265/50 R 19,110Y
MASERATI,Levante,2016 - ,3.0L V6 350,265/45 R 20,108Y,265/45 R 20,108Y
MASERATI,Levante,2016 - ,3.0L V6 350,265/40 R 21,105Y,265/40 R 21,105Y
CHRYSLER,Voyager 4x4,1990 - 1995,2.5 TD 115,205/70 R 15,095T,205/70 R 15,095T
SKODA,Octavia,1996 - 2004,1.9 SDI 68,205/55 R 16,091W,205/55 R 16,091W
SKODA,Octavia,1996 - 2004,1.9 SDI 68,205/60 R 15,091V,205/60 R 15,091V
SKODA,Octavia,1996 - 2004,1.9 SDI 68,195/65 R 15,091V,195/65 R 15,091V
SKODA,Octavia,1996 - 2004,1.9 SDI 68,175/80 R 14,088T,175/80 R 14,088T
LADA,Kalina Sport,2013 - 2018,1.6 L 114,185/55 R 15,082H,185/55 R 15,082H
LADA,Kalina Sport,2013 - 2018,1.6 L 114,195/50 R 16,084V,195/50 R 16,084V
IVECO,35S12,2014 - ,2.3 FIA 116,215/65 R 16,109Q,215/65 R 16,109Q
IVECO,35S12,2014 - ,2.3 FIA 116,235/65 R 16,115Q,235/65 R 16,115Q
IVECO,35S12,2014 - ,2.3 FIA 116,225/65 R 16,112Q,225/65 R 16,112Q
ASTON MARTIN,DB7 Vantage Coupé,1999 - 2004,3.2 L 332,225/55 R 16,095H,225/55 R 16,095H
ASTON MARTIN,DB7 Vantage Coupé,1999 - 2004,3.2 L 332,245/40 R 18,093Y,245/40 R 18,093Y
LADA,Kalina Sport,2013 - 2018,1.6 L 106,185/50 R 15,082H,185/50 R 15,082H
DAIHATSU,Applause,1989 - 1997,1.6 L 105,175/70 R 13,082H,175/70 R 13,082H
DAIHATSU,Applause,1989 - 1997,1.6 L 105,185/60 R 14,082H,185/60 R 14,082H
ASTON MARTIN,DB7 Vantage Coupé,1999 - 2004,6.0 V12 420,245/40 R 18,000ZR,265/35 R 18,000ZR
ASTON MARTIN,DB7 Vantage Coupé,1999 - 2004,6.0 V12 420,245/35 R 19,093Y,265/30 R 19,093Y
DELOREAN,DMC-12,1981 - 1983,2.8 V6 132,195/60 R 14,086H,235/60 R 15,098H
CHRYSLER,Voyager 4x4,1995 - 2001,3.0 V6,215/65 R 15,096T,215/65 R 15,096T
LADA,112,2000 - 2008,1.4 L 90,185/60 R 14,082H,185/60 R 14,082H
